  NOME STAZIONE,CODICE STAZ,LAT ,LONG 
ALBERONA,476,41.43208333333333,15.123750000000001
ANZANO DI PUGLIA ,62,41.123472222222226,15.28127777777778
APRICENA,63,41.79138888888889,15.4495
ARPINOVA,116,41.54775,15.619805555555557
ASCOLI SATRIANO ,55,41.20227777777778,15.56463888888889
BICCARI,403,41.39313888888889,15.19025
BORGO LIBERTA',404,41.18988888888889,15.715722222222222
BOVINO  ,406,41.240972222222226,15.328888888888889
CAN. S. MARIA - P.TE SP12,118,41.62558333333333,15.298183333333332
CANDIDA,602,41.344395,15.997072
CANOSA DI PUGLIA,409,41.22530555555556,16.062416666666667
CARLANTINO  ,84,41.590500000000006,14.979333333333333
CASALNUOVO  MONTEROTARO,91,41.61866666666667,15.104305555555555
CASTELLUCCIO DEI SAURI,412,41.30869444444444,15.472611111111112
CELENZA VALFORTORE ,85,41.56505555555555,14.999444444444444
CERIGNOLA,21,41.26444444444444,15.904205555555556
DELICETO,64,41.22166666666667,15.389166666666666
DIGA T.CELONE,414,41.42552777777777,15.436361111111111
DIGA MARANA-CAPACIOTTI,618,41.155522,15.812747
F. FORTORE - P.TE SP142 (CIVITATE),89,41.78183333333333,15.223944444444445
F. FORTORE - P.TE SP5,77,41.647305555555555,15.044361111111112
F. FORTORE - P.TE SS16,79,41.892871,15.262075
F. OFANTO - P.TE SP155 (MONTEVERDE SCALO),417,40.965383333333335,15.562883333333334
F. OFANTO - S. SAMUELE DI CAFIERO,416,41.267966666666666,16.056783333333335
FAETO,3,41.322611111111115,15.160333333333334
FOGGIA IST. AGR.,418,41.46027777777778,15.501305555555556
FOGGIA OSSERVATORIO,26,41.46180555555556,15.543027777777777
FONTE ROSA,478,41.445055555555555,15.813444444444444
LESINA,424,41.86336111111111,15.3535
LOCONIA,471,41.161833333333334,15.940777777777779
MASSERIA S. CHIARA,428,41.33755555555556,16.134638888888887
MONTELEONE DI PUGLIA,30,41.15022222222222,15.268305555555557
ORSARA DI PUGLIA,479,41.284,15.268027777777778
ORTANOVA,40,41.32691666666667,15.707055555555554
ORTO DI ZOLFO,480,41.37269444444445,15.153666666666666
PIETRAMONTECORVINO  ,22,41.54441666666666,15.12925
ROCCHETTA S. ANTONIO,445,41.10605555555556,15.465944444444444
S. AGATA DI PUGLIA,483,41.15036111111111,15.381416666666667
S. PAOLO DI CIVITATE,83,41.741305555555556,15.258583333333334
S. SEVERO ,448,41.69380555555555,15.38411111111111
STORNARELLA,614,41.256411,15.729986
T. CANDELARO - P.TE SS272,80,41.714483333333334,15.5027
T. CARAPELLE - P.TE SR01,74,41.17733333333333,15.509266666666667
T. CARAPELLE - SS161,457,41.297399999999996,15.600733333333332
T. CELONE - P.TE SP116 (SAN GIUSTO),68,41.423716666666664,15.4086
T. CERVARO - Z.I. INCORONATA,458,41.40683333333333,15.653483333333334
T. SALSOLA - P.TE SS16,106,41.56368611111111,15.49955
T. TONA - P.TE SP118,92,41.71977777777778,15.121638888888889
TERTIVERI,484,41.43394444444444,15.206305555555554
TORREMAGGIORE,485,41.6905,15.292277777777779
TROIA,38,41.36236111111111,15.30988888888889
VOLTURARA APPULA,86,41.502,15.063444444444444
